anno;provincia;settore;qualifica;arrivi_italiani;presenza_italiani;arrivi_stranieri;presenza_stranieri;arrivi_totali;presenza_totali
2020;CN;SETTORE EXTRALBERGHIERO;CAV - Residence;16522;73269;5854;24600;22376;97869
2021;CN;SETTORE EXTRALBERGHIERO;Country house;443;620;358;1269;801;1889
2010;NO;SETTORE ALBERGHIERO;Albergo;169176;304604;117572;260993;286748;565597
2013;AL;SETTORE EXTRALBERGHIERO;Agriturismo;14951;26324;9458;23464;24409;49788
2015;BI;SETTORE EXTRALBERGHIERO;Campeggio;5263;16157;822;1429;6085;17586
2017;VB;SETTORE EXTRALBERGHIERO;CAV - Residence;5962;42484;26784;153130;32746;195614
2021;NO;SETTORE EXTRALBERGHIERO;Campeggio;37734;136236;30107;134095;67841;270331
2008;VB;SETTORE ALBERGHIERO;Albergo;142895;368032;298217;924781;441112;1292813
2008;VC;SETTORE EXTRALBERGHIERO;Rifugio alpino;1872;2374;2071;2119;3943;4493
2019;VB;SETTORE EXTRALBERGHIERO;Campeggio;19552;58291;119986;704843;139538;763134
2020;AL;SETTORE EXTRALBERGHIERO;Agriturismi (senza ricettività);0;0;null;null;0;0
2021;TO;SETTORE EXTRALBERGHIERO;Bivacco fisso;0;0;null;null;0;0
2008;AL;SETTORE EXTRALBERGHIERO;Ostello;2854;5629;926;2069;3780;7698
