anno;provincia;settore;qualifica;arrivi_italiani;presenza_italiani;arrivi_stranieri;presenza_stranieri;arrivi_totali;presenza_totali
2019;VC;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1487;2766;521;1622;2008;4388
2020;VB;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);5365;23580;7320;25972;12685;49552
2021;AL;SETTORE EXTRALBERGHIERO;Campeggio;2151;7580;2877;23519;5028;31099
2021;TO;SETTORE EXTRALBERGHIERO;Ostello;14281;68822;5868;63019;20149;131841
2007;TO;SETTORE EXTRALBERGHIERO;CAV - Residence;15481;188755;3384;57473;18865;246228
2007;VB;SETTORE EXTRALBERGHIERO;Affittacamere;3325;12958;2761;8132;6086;21090
2007;VB;SETTORE EXTRALBERGHIERO;Casa per ferie;5019;28634;363;1409;5382;30043
2020;TO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;9548;23302;2780;6049;12328;29351
2006;VB;SETTORE EXTRALBERGHIERO;Agriturismo;248;670;67;98;315;768
2007;VC;SETTORE EXTRALBERGHIERO;Affittacamere;1363;6577;638;4583;2001;11160
2007;VC;SETTORE EXTRALBERGHIERO;Casa per ferie;622;20372;140;1051;762;21423
2009;AL;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2674;5134;1468;4444;4142;9578
2012;AT;SETTORE EXTRALBERGHIERO;CAV - Residence;625;3436;896;5707;1521;9143
2021;TO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);55667;300826;11889;49376;67556;350202
2010;AT;SETTORE EXTRALBERGHIERO;Agriturismo;11829;26095;9808;33206;21637;59301
2011;VB;SETTORE EXTRALBERGHIERO;Bed & Breakfast;3265;6501;3467;10005;6732;16506
2013;TO;SETTORE ALBERGHIERO;Albergo;1295441;2874721;322934;931467;1618375;3806188
2019;CN;SETTORE EXTRALBERGHIERO;CAV - Residence;26616;105768;18132;62916;44748;168684
2020;CN;SETTORE EXTRALBERGHIERO;Country house;60;105;87;360;147;465
2012;TO;SETTORE EXTRALBERGHIERO;Agriturismo;3926;10811;1415;4368;5341;15179
2015;CN;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;4118;8265;3640;5504;7758;13769
2017;VB;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;767;2174;1511;5812;2278;7986
2018;AT;SETTORE EXTRALBERGHIERO;Affittacamere;7310;16048;5755;18721;13065;34769
2018;AT;SETTORE EXTRALBERGHIERO;Casa per ferie;3767;6362;1379;4043;5146;10405
2018;CN;SETTORE EXTRALBERGHIERO;Ostello;750;1661;216;759;966;2420
2019;BI;SETTORE ALBERGHIERO;Albergo;38845;82992;18075;38879;56920;121871
2020;TO;SETTORE EXTRALBERGHIERO;Rifugio alpino;5641;6735;326;369;5967;7104
2021;VC;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;621;1032;210;235;831;1267
2005;VB;SETTORE EXTRALBERGHIERO;CAV - Residence;1647;7981;12525;105359;14172;113340
2009;NO;SETTORE EXTRALBERGHIERO;Campeggio;38664;168315;17787;90259;56451;258574
2016;BI;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;1143;1507;334;746;1477;2253
2017;AT;SETTORE EXTRALBERGHIERO;Agriturismo;17068;34568;17354;55965;34422;90533
2018;VB;SETTORE EXTRALBERGHIERO;Bed & Breakfast;9397;17656;12470;30134;21867;47790
2020;TO;SETTORE ALBERGHIERO;Albergo;531561;1094312;187461;537236;719022;1631548
2005;BI;SETTORE EXTRALBERGHIERO;Agriturismo;673;2641;109;763;782;3404
2007;TO;SETTORE EXTRALBERGHIERO;Affittacamere;3980;31642;631;5783;4611;37425
2007;TO;SETTORE EXTRALBERGHIERO;Casa per ferie;45628;358909;11298;68461;56926;427370
2011;NO;SETTORE EXTRALBERGHIERO;Agriturismo;1212;4967;913;2895;2125;7862
2012;CN;SETTORE ALBERGHIERO;Albergo;228090;587300;139618;341386;367708;928686
2013;BI;SETTORE EXTRALBERGHIERO;Rifugio alpino;961;1053;698;709;1659;1762
2018;VC;SETTORE ALBERGHIERO;Albergo;39137;81826;12330;28391;51467;110217
2019;AT;SETTORE EXTRALBERGHIERO;Agriturismi (senza ricettività);0;0;null;null;0;0
2012;TO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;9375;20604;2344;6375;11719;26979
2015;AL;SETTORE EXTRALBERGHIERO;CAV - Residence;5349;19702;2980;8116;8329;27818
2016;AT;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;949;2022;846;2940;1795;4962
2018;NO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);1021;6029;3612;36568;4633;42597
2020;CN;SETTORE EXTRALBERGHIERO;Affittacamere;24200;45557;10628;23837;34828;69394
